Time(s),out1,out2,out3
0,163.07391,-99.949417,-100.74313
0.003906301,163.18062,-104.37176,-102.63869
0.007812602,163.20671,-103.38576,-101.22101
0.011718903,163.32153,-101.6832,-103.12327
0.015625203,163.11765,-100.94536,-101.06968
0.019531504,163.84637,-104.80185,-101.20393
0.023437805,163.39365,-100.11646,-99.450729
0.027344106,163.46432,-102.10697,-98.037666
0.031250407,163.58287,-102.91599,-98.069969
0.035156708,163.25687,-100.42102,-96.87883
0.039063009,163.34341,-103.80768,-95.793381
0.042969309,163.58858,-103.19412,-96.417953
0.04687561,163.4333,-101.41137,-93.911804
0.050781911,163.31413,-102.20037,-93.127647
0.054688212,163.65181,-101.11786,-90.118057
0.058594513,163.49237,-102.58483,-89.506813
0.062500814,163.39581,-100.04576,-88.85495
0.066407115,163.49257,-99.599342,-87.244637
0.070313416,163.36543,-103.16003,-87.034004
0.074219716,163.14542,-101.79419,-85.91317
0.078126017,163.56831,-104.56596,-84.147682
0.082032318,163.24315,-104.18864,-80.383553
0.085938619,163.38542,-103.91295,-82.243904
0.08984492,163.27814,-102.39223,-82.491684
0.093751221,163.09921,-103.61633,-81.92231
0.097657522,163.24332,-103.20123,-80.485481
0.101563822,163.51242,-99.709023,-81.625557
0.105470123,163.4156,-101.68919,-81.032562
0.109376424,163.3127,-101.56768,-81.45755
0.113282725,163.50255,-104.40707,-81.199249
0.117189026,163.06676,-104.92385,-82.409225
0.121095327,163.1293,-101.41009,-81.450233
0.125001628,163.23752,-100.94788,-84.163567
0.128907928,163.34483,-99.02317,-83.722961
0.132814229,163.37074,-101.15424,-84.599205
0.13672053,163.17618,-102.84975,-86.342529
0.140626831,163.41183,-105.74147,-86.866951
0.144533132,163.37305,-105.0937,-86.778221
0.148439433,163.16075,-102.85264,-86.183304
0.152345734,163.34128,-102.3962,-85.55143
0.156252035,163.26454,-103.9278,-88.721992
0.160158335,163.42859,-102.66449,-87.422806
0.164064636,163.37822,-102.26544,-89.817299
0.167970937,163.19998,-102.15616,-90.507675
0.171877238,163.50049,-100.87643,-90.245941
0.175783539,163.33076,-106.05033,-92.029007
0.17968984,163.49486,-102.63588,-92.084366
0.183596141,163.31424,-102.41873,-92.611481
0.187502441,163.59114,-103.5125,-93.14064
0.191408742,163.75597,-104.27997,-92.976837
0.195315043,163.51395,-101.44005,-93.814934
