850nm,640nm,940nm,580nm
889928,-1.03056e+06,993911,-1.41288e+06
890058,-1.03175e+06,993318,-1.41214e+06
889618,-1.03138e+06,992099,-1.41189e+06
890198,-1.03142e+06,992624,-1.41176e+06
890429,-1.03182e+06,991206,-1.41133e+06
890805,-1.03167e+06,990560,-1.41189e+06
890073,-1.03226e+06,989795,-1.4118e+06
890461,-1.03174e+06,990723,-1.41207e+06
890653,-1.03013e+06,994760,-1.41084e+06
890226,-1.02794e+06,1.00288e+06,-1.41142e+06
889130,-1.02521e+06,1.01537e+06,-1.41202e+06
889115,-1.02186e+06,1.02864e+06,-1.41055e+06
888529,-1.0177e+06,1.04226e+06,-1.41057e+06
888103,-1.01565e+06,1.05109e+06,-1.41103e+06
887025,-1.01447e+06,1.05395e+06,-1.41215e+06
886874,-1.0146e+06,1.05219e+06,-1.4112e+06
887716,-1.01513e+06,1.04882e+06,-1.41185e+06
888190,-1.01726e+06,1.0438e+06,-1.41125e+06
887527,-1.01881e+06,1.03928e+06,-1.41286e+06
888120,-1.02024e+06,1.03458e+06,-1.41272e+06
888458,-1.02067e+06,1.03294e+06,-1.4115e+06
888619,-1.02155e+06,1.02898e+06,-1.41226e+06
888755,-1.02323e+06,1.02507e+06,-1.41242e+06
888727,-1.02423e+06,1.02133e+06,-1.41309e+06
889009,-1.02518e+06,1.01754e+06,-1.41236e+06
889182,-1.02562e+06,1.01538e+06,-1.41192e+06
889309,-1.02604e+06,1.01341e+06,-1.41204e+06
889559,-1.02665e+06,1.01256e+06,-1.41165e+06
889365,-1.02633e+06,1.01299e+06,-1.41154e+06
889333,-1.02566e+06,1.01444e+06,-1.41205e+06
889303,-1.02629e+06,1.0153e+06,-1.41189e+06
889407,-1.02625e+06,1.01539e+06,-1.41166e+06
889487,-1.02579e+06,1.01519e+06,-1.41168e+06
889394,-1.02567e+06,1.01525e+06,-1.41125e+06
889362,-1.02588e+06,1.01286e+06,-1.41126e+06
889173,-1.02687e+06,1.01051e+06,-1.41225e+06
889563,-1.02728e+06,1.00783e+06,-1.41218e+06
889764,-1.02759e+06,1.00669e+06,-1.41113e+06
890378,-1.02853e+06,1.00435e+06,-1.41099e+06
890169,-1.02929e+06,1.00153e+06,-1.41144e+06
890454,-1.02968e+06,999828,-1.411e+06
890674,-1.02986e+06,998556,-1.41073e+06
890325,-1.03027e+06,995798,-1.41143e+06
890598,-1.03162e+06,993907,-1.41174e+06
890321,-1.03265e+06,992220,-1.411e+06
890594,-1.03118e+06,992286,-1.41139e+06
890960,-1.03151e+06,991507,-1.41104e+06
890501,-1.03195e+06,990522,-1.41128e+06
891137,-1.03277e+06,989604,-1.41061e+06
891058,-1.03211e+06,989441,-1.41087e+06
890740,-1.03239e+06,988042,-1.41074e+06
890553,-1.03325e+06,988001,-1.41059e+06
890615,-1.03337e+06,987297,-1.41036e+06
891626,-1.03305e+06,985629,-1.4097e+06
891353,-1.03375e+06,984457,-1.40989e+06
890947,-1.03404e+06,982415,-1.41056e+06
891299,-1.03362e+06,983575,-1.40987e+06
891114,-1.03199e+06,992226,-1.40984e+06
890600,-1.02898e+06,1.00297e+06,-1.40927e+06
890092,-1.02579e+06,1.01837e+06,-1.40977e+06
889062,-1.02212e+06,1.03181e+06,-1.40985e+06
888422,-1.01919e+06,1.04266e+06,-1.40964e+06
888083,-1.01751e+06,1.04765e+06,-1.40971e+06
887758,-1.01711e+06,1.04771e+06,-1.40977e+06
888025,-1.01828e+06,1.04439e+06,-1.40997e+06
888046,-1.01972e+06,1.04109e+06,-1.4104e+06
888905,-1.0208e+06,1.03535e+06,-1.41007e+06
888685,-1.0224e+06,1.03051e+06,-1.41018e+06
888287,-1.02393e+06,1.02664e+06,-1.4113e+06
889275,-1.02502e+06,1.02293e+06,-1.41029e+06
889595,-1.02675e+06,1.01899e+06,-1.41026e+06
889826,-1.02723e+06,1.01509e+06,-1.41096e+06
888902,-1.02824e+06,1.01035e+06,-1.41147e+06
888964,-1.02945e+06,1.00798e+06,-1.41056e+06
889610,-1.02905e+06,1.00533e+06,-1.41093e+06
890235,-1.03009e+06,1.00391e+06,-1.41027e+06
889356,-1.0303e+06,1.00281e+06,-1.41127e+06
888880,-1.0303e+06,1.00359e+06,-1.41072e+06
890126,-1.03029e+06,1.00421e+06,-1.41024e+06
889465,-1.02941e+06,1.00482e+06,-1.41039e+06
889303,-1.02975e+06,1.00449e+06,-1.4104e+06
889004,-1.03016e+06,1.00485e+06,-1.41115e+06
889606,-1.02975e+06,1.00508e+06,-1.41016e+06
889988,-1.02978e+06,1.00434e+06,-1.41004e+06
889582,-1.03004e+06,1.00241e+06,-1.41003e+06
889280,-1.0311e+06,1.00051e+06,-1.41049e+06
889906,-1.03073e+06,997801,-1.41002e+06
890241,-1.03154e+06,996200,-1.40982e+06
889908,-1.03183e+06,994570,-1.41022e+06
889919,-1.03227e+06,993269,-1.40991e+06
890591,-1.03205e+06,992887,-1.40965e+06
890708,-1.03153e+06,992469,-1.40953e+06
889921,-1.03178e+06,991601,-1.4106e+06
890380,-1.0329e+06,989769,-1.40986e+06
890979,-1.03187e+06,989850,-1.40923e+06
890706,-1.03235e+06,989820,-1.4093e+06
890222,-1.03251e+06,988792,-1.41045e+06
890828,-1.03199e+06,989253,-1.40972e+06
890518,-1.03275e+06,989010,-1.40991e+06
890534,-1.03254e+06,987304,-1.40933e+06
890327,-1.03285e+06,986299,-1.40995e+06
891197,-1.03265e+06,986570,-1.40857e+06
891015,-1.03244e+06,986120,-1.4084e+06
890710,-1.03304e+06,985708,-1.40895e+06
